campo-mapeo,Cod. Barras,name,default_code,Descripción de Ventas,cat. producto,coste,pvp,EsNeto,Softline SI
120000,6702373.0,120000,IDL-120000,MTR.DIFUSOR PC BLANCO OPAL  P/PERFIL S1/S2/E1/E2/C1/PA1/PA2/PA3/EP1/EP2/S9 (1metro),130.0,0.0,"2,90 €",NO,NO
120009,6702748.0,120009,IDL-120009,MTR.DIFUSOR PC BLANCO OPAL PARA PERFIL CI1 (1metro),130.0,0.0,"6,00 €",NO,NO
120010,6703172.0,120010,IDL-120010,MTR.DIFUSOR TRANSPARENTE P/PERFIL S1/S2/E1/E2/C1/PA1/PA2/PA3/EP1/EP2/S9 (1metro),130.0,0.0,"2,90 €",NO,NO
120090,6709983.0,120090,IDL-120090,MTR.DIFUSOR PC BLANCO OPAL PARA PERFIL C3 (1metro),130.0,0.0,"5,70 €",NO,NO
120100,6711481.0,120100,IDL-120100,MTR.DIFUSOR PMMA NEGRO P/PERFIL S1/S2/E1/E2/C1/PA1/PA2/PA3/EP1/EP2/S9 (1metro),130.0,0.0,"4,50 €",NO,NO
120120,6711412.0,120120,IDL-120120,MTR.DIFUSOR PC BLANCO OPAL PARA PERFIL S5/E5 (1metro),130.0,0.0,"4,00 €",NO,NO
130010,6702793.0,130010,IDL-130010,TAPA LATERAL SIN PASACABLES S1 (1und),130.0,0.0,"0,45 €",NO,NO
130010N,6702380.0,130010N,IDL-130010N,TAPA LATERAL SIN PASACABLES S1 NEGRO (1und),130.0,0.0,"0,50 €",NO,NO
130016,6702823.0,130016,IDL-130016,TAPA LATERAL SIN PASACABLES CI1 (1und),130.0,0.0,"1,00 €",NO,NO
130020B,6703165.0,130020B,IDL-130020B,TAPA LATERAL SIN PASACABLES S2 BLANCO (1und),130.0,0.0,"0,60 €",NO,NO
130080N,6703257.0,130080N,IDL-130080N,TAPA LATERAL SIN PASACABLES E2 NEGRO (1und),130.0,0.0,"0,60 €",NO,NO
130160,6703288.0,130160,IDL-130160,TAPA LATERAL SIN PASACABLES C3 (1und),130.0,0.0,"0,80 €",NO,NO
131010,6702786.0,131010,IDL-131010,TAPA LATERAL CON PASACABLES S1  (1und),130.0,0.0,"0,45 €",NO,NO
131016,6702830.0,131016,IDL-131016,TAPA LATERAL CON PASACABLES CI1 (1und),130.0,0.0,"1,00 €",NO,NO
131020B,6711405.0,131020B,IDL-131020B,TAPA LATERAL CON PASACABLES  S2 BLANCO (1und),130.0,0.0,"0,60 €",NO,NO
131020N,6719401.0,131020N,IDL-131020N,TAPA LATERAL CON PASACABLES S2 NEGRO (1und),130.0,0.0,"0,60 €",NO,NO
131160,6703295.0,131160,IDL-131160,TAPA LATERAL CON PASACABLES C3 (1und),130.0,0.0,"0,80 €",NO,NO
140010,6702809.0,140010,IDL-140010,GRAPA METALICA P/PERFIL S1/S2/S9 (1und),130.0,0.0,"0,45 €",NO,NO
140020,6719371.0,140020,IDL-140020,GRAPA METALICA ORIENTABLE P/PERFIL S1/S2 (1und),130.0,0.0,"1,70 €",NO,NO
140080,6703271.0,140080,IDL-140080,GRAPA METALICA P/PERFIL C3 (1und),130.0,0.0,"0,80 €",NO,NO
140110,6703301.0,140110,IDL-140110,CONECTOR 90º PARA PERFIL C3  (1und),130.0,0.0,"2,65 €",NO,NO
224003,6719364.0,224003,,FUENTE ALIMENTACION IP67 PWM200-DA2 24Vdc (1 und),130.0,0.0,"167,50 €",NO,NO
311000R5,6696955.0,311000R5,IDL-311000R5,"MTR.TIRA FLEXIBLE LED ""BASIC"" 4.8W/M 24Vdc IP65 3000K (5 metros)",130.0,"3,1",0.0,SI,NO
321200M,6697044.0,321200M,IDL-321200M,MTR.TIRA FLEXIBLE LED 10W/M 230Vac IP65 3000K (200mm),130.0,"10,1",0.0,SI,NO
321200R50,6697051.0,321200R50,IDL-321200R50,MTR.TIRA FLEXIBLE LED 10W/M 230Vac IP65 3000K (50metros),130.0,"9,15",0.0,SI,NO
321230M,6697099.0,321230M,IDL-321230M,MTR.TIRA FLEXIBLE LED 10W/M 230Vac IP65 2700K (200mm),130.0,"10,1",0.0,SI,NO
321230R50,6697105.0,321230R50,IDL-321230R50,MTR.TIRA FLEXIBLE LED 10W/M 230Vac IP65 2700K (50metros),130.0,"9,15",0.0,SI,NO
321300R50,6697129.0,321300R50,IDL-321300R50,MTR.TIRA FLEXIBLE LED 17W/M 230Vac IP65 3000K (50metros),130.0,"11,1",0.0,SI,NO
321310R50,6697143.0,321310R50,IDL-321310R50,MTR.TIRA FLEXIBLE LED 17W/M 230Vac IP65 4000K (50metros),130.0,"11,1",0.0,SI,NO
321320R50,6697167.0,321320R50,IDL-321320R50,MTR.TIRA FLEXIBLE LED 17W/M 230Vac IP65 6000K (50metros),130.0,"11,1",0.0,SI,NO
321330R50,6697181.0,321330R50,IDL-321330R50,MTR.TIRA FLEXIBLE LED 17W/M 230Vac IP65 2700K (50metros),130.0,"11,1",0.0,SI,NO
321870R50,6697228.0,321870R50,IDL-321870R50,MTR.TIRA FLEXIBLE LED 15W/M 230Vac IP65 VERDE (50metros),130.0,"11,95",0.0,SI,NO
322300R50,6697280.0,322300R50,IDL-322300R50,MTR.TIRA FLEXIBLE LED 17W/M 230Vac IP67 3000K (50metros),130.0,"11,95",0.0,SI,NO
330430M,,330430M,IDL-330430M,"MTR.TIRA FLEXIBLE LED 20W/M 24Vdc IP20 2700K (35,5mm)",130.0,0.0,"20,80 €",NO,NO
330560M,,,,,,,,NO,SI
330560R50,,,,,,,,NO,SI
330700M,6716028.0,330700M,IDL-330700M,"MTR.TIRA FLEXIBLE LED 9,6W/M 24Vdc IP20 3000K (71,5mm)",130.0,0.0,"10,15 €",NO,NO
330730R50,6718596.0,330730R50,IDL-330730R50,"MTR.TIRA FLEXIBLE LED 9,6W/M 24Vdc IP20 2700K (50 metros)",130.0,0.0,"9,20 €",NO,NO
331000R50,,331000R50,IDL-331000R50,"MTR.TIRA FLEXIBLE LED 4,8W/M 24Vdc IP65 3000K (50 metros)",130.0,0.0,"9,15 €",NO,NO
331030M,,331030M,IDL-331030M,"MTR.TIRA FLEXIBLE LED 4,8W/M 24Vdc IP65 2700K (100mm)",130.0,0.0,"10,10 €",NO,NO
331030R50,,331030R50,IDL-331030R50,"MTR.TIRA FLEXIBLE LED 4,8W/M 24Vdc IP65 2700K (50 metros)",130.0,0.0,"9,15 €",NO,NO
331690R50,,331690R50,IDL-331690R50,"MTR.TIRA FLEXIBLE LED 14,4W/M 24Vdc IP65 RGB (50metros)",130.0,0.0,"16,00 €",NO,NO
331700M,6719340.0,331700M,IDL-331700M,"MTR.TIRA FLEXIBLE LED 9,6W/M 24Vdc IP65 3000K (71,5mm)",130.0,0.0,"12,20 €",NO,NO
331700R50,6713737.0,331700R50,IDL-331700R50,"MTR.TIRA FLEXIBLE LED 9,6W/M 24Vdc IP65 3000K (50 metros)",130.0,0.0,"11,10 €",NO,NO
332280M,6716059.0,332280M,IDL-332280M,MTR.TIRA FLEXIBLE LED 18W/M 24Vdc IP65 RGB+4000K (100mm),130.0,0.0,"26,65 €",NO,NO
335300R5,,,,,,,,NO,SI
410004,6717896.0,410004,IDL-410004,"MTR.MANGUERA PVC NEGRA 5X0,50 (RGB+W) (1 metro)",130.0,0.0,"2,35 €",NO,NO
420000,,420000,IDL-420000,TAPON CON PASACABLES P/TIRA IP65 10mm (1 und),130.0,0.0,"0,40 €",NO,NO
420003,6703844.0,420003,,KIT CONECTOR CON CABLE PARA TIRA 230Vac IP65/67 (PCB 10mm) (1 und),130.0,0.0,"5,45 €",NO,NO
420020,6697358.0,420020,IDL-420020,TAPON CON PASACABLES P/TIRA IP65 12mm (1 und),130.0,0.0,"0,40 €",NO,NO
420022,6713775.0,420022,IDL-420022,TAPON CIEGO P/TIRA IP65 10mm (1 und),130.0,0.0,"0,35 €",NO,NO
420030,6697365.0,420030,IDL-420030,TAPON CIEGO P/TIRA IP65 12mm (1 und),130.0,0.0,"0,35 €",NO,NO
420050,,,,,,,,NO,SI
510010,6711962.0,510010,IDL-510010,MANDO RF MONOCOLOR TACTIL 4 ZONAS (1 und),130.0,0.0,"36,65 €",NO,NO
510050,6711993.0,510050,IDL-510050,CONTROLADOR RF RGB/RGBW 4X5A 12-36V  (1 und),130.0,0.0,"45,95 €",NO,NO
510060,6712037.0,510060,IDL-510060,MANDO RF RGB/RGBW TACTIL 4 ZONAS (1 und),130.0,0.0,"42,20 €",NO,NO
510100,6711955.0,510100,IDL-510100,REGULADOR POR CORTE DE FASE 230V 1A RF/PUSH. (1 und),130.0,0.0,"45,90 €",NO,NO
702103M,,702103M,IDL-702103M,"MTR.NEON SILICONA.13x12 GIRO FRONTAL 9,6W/M 24Vdc IP67 2700K (50mm)",130.0,0.0,"46,25 €",NO,NO
702202,,702202,IDL-702202,TAPON CON PASACABLES P/NEON 13x12mm (1 und),130.0,0.0,"1,50 €",NO,NO
